stat_jahr;id;geb_year;name;gemeinde_m
2016;x;2016;Amélie Lea;x
2005;x;2005;Joséphine;x
2010;x;2010;Lara Bärbel;x
1999;x;1999;Seval Kübra;x
1999;x;1999;Sevgi Büsra;x
